,best parameter,Test Error
Run 1,0.015625,0.03118279569892473
Run 2,0.015625,0.023655913978494623
Run 3,0.0078125,0.027419354838709678
Run 4,0.015625,0.02795698924731183
Run 5,0.015625,0.025806451612903226
Run 6,0.015625,0.024731182795698924
Run 7,0.015625,0.01935483870967742
Run 8,0.015625,0.024193548387096774
Run 9,0.015625,0.01989247311827957
Run 10,0.015625,0.024193548387096774
Run 11,0.015625,0.02258064516129032
Run 12,0.015625,0.02956989247311828
Run 13,0.015625,0.01989247311827957
Run 14,0.015625,0.02204301075268817
Run 15,0.015625,0.026344086021505377
Run 16,0.015625,0.03225806451612903
Run 17,0.0078125,0.02795698924731183
Run 18,0.0078125,0.026344086021505377
Run 19,0.015625,0.023655913978494623
Run 20,0.015625,0.02849462365591398
