,best parameter,Test Error
Run 1,1.0,0.025806451612903226
Run 2,1.0,0.026881720430107527
Run 3,1.0,0.03225806451612903
Run 4,1.0,0.034408602150537634
Run 5,1.0,0.02849462365591398
Run 6,1.0,0.03064516129032258
Run 7,1.0,0.03118279569892473
Run 8,1.0,0.027419354838709678
Run 9,1.0,0.031720430107526884
Run 10,1.0,0.03064516129032258
Run 11,1.0,0.03333333333333333
Run 12,1.0,0.03763440860215054
Run 13,1.0,0.03387096774193549
Run 14,1.0,0.02795698924731183
Run 15,3.0,0.03333333333333333
Run 16,1.0,0.02795698924731183
Run 17,1.0,0.035483870967741936
Run 18,1.0,0.03387096774193549
Run 19,1.0,0.03064516129032258
Run 20,1.0,0.038172043010752686
