,best p,best_C,Test Error
Run 1,0.015625,100.0,0.023118279569892472
Run 2,0.015625,1000.0,0.021505376344086023
Run 3,0.015625,10.0,0.026344086021505377
Run 4,0.015625,10.0,0.02204301075268817
Run 5,0.015625,100.0,0.020967741935483872
Run 6,0.015625,10.0,0.02258064516129032
Run 7,0.015625,100.0,0.025268817204301075
Run 8,0.015625,100.0,0.023655913978494623
Run 9,0.015625,1000.0,0.023118279569892472
Run 10,0.015625,1000.0,0.024193548387096774
Run 11,0.015625,1000.0,0.02043010752688172
Run 12,0.015625,100.0,0.026344086021505377
Run 13,0.015625,10.0,0.024731182795698924
Run 14,0.015625,10.0,0.01989247311827957
Run 15,0.015625,1000.0,0.024193548387096774
Run 16,0.015625,1000.0,0.023655913978494623
Run 17,0.015625,1000.0,0.02204301075268817
Run 18,0.015625,100.0,0.01989247311827957
Run 19,0.015625,100.0,0.020967741935483872
Run 20,0.015625,100.0,0.024731182795698924
